668, 668
480, 480
12, 12
986, 986
184, 184
399, 399
77, 77
52, 52
491, 491
849, 849
452, 452
727, 727
522, 522
625, 625
583, 583
837, 837
498, 498
98, 98
255, 255
793, 793
765, 765
549, 549
903, 903
346, 346
166, 166
232, 232
297, 297
67, 67
658, 658
574, 574
50, 50
446, 446
440, 440
805, 805
16, 16
683, 683
707, 707
288, 288
448, 448
689, 689
276, 276
825, 825
53, 53
641, 641
400, 400
599, 599
299, 299
963, 963
720, 720
564, 564
973, 973
922, 922
192, 192
85, 85
623, 623
360, 360
552, 552
602, 602
698, 698
932, 932
992, 992
699, 699
419, 419
696, 696
804, 804
403, 403
657, 657
42, 42
2, 2
121, 121
358, 358
761, 761
674, 674
325, 325
414, 414
277, 277
936, 936
383, 383
993, 993
631, 631
373, 373
261, 261
128, 128
279, 279
676, 676
591, 591
94, 94
176, 176
160, 160
256, 256
163, 163
844, 844
692, 692
421, 421
302, 302
25, 25
619, 619
423, 423
838, 838
711, 711
428, 428
109, 109
962, 962
651, 651
393, 393
728, 728
185, 185
191, 191
75, 75
453, 453
682, 682
342, 342
595, 595
449, 449
483, 483
544, 544
553, 553
518, 518
813, 813
458, 458
534, 534
38, 38
314, 314
688, 688
341, 341
301, 301
890, 890
312, 312
157, 157
389, 389
259, 259
532, 532
397, 397
73, 73
504, 504
751, 751
896, 896
39, 39
272, 272
254, 254
462, 462
638, 638
611, 611
766, 766
822, 822
879, 879
11, 11
116, 116
18, 18
395, 395
307, 307
580, 580
826, 826
597, 597
247, 247
89, 89
670, 670
604, 604
771, 771
537, 537
88, 88
178, 178
824, 824
934, 934
933, 933
177, 177
351, 351
17, 17
652, 652
523, 523
467, 467
787, 787
413, 413
685, 685
416, 416
558, 558
257, 257
724, 724
386, 386
362, 362
780, 780
850, 850
99, 99
291, 291
364, 364
332, 332
941, 941
538, 538
209, 209
482, 482
846, 846
320, 320
952, 952
372, 372
368, 368
531, 531
918, 918
745, 745
405, 405
182, 182
472, 472
902, 902
374, 374
391, 391
542, 542
546, 546
441, 441
122, 122
915, 915
376, 376
237, 237
114, 114
309, 309
303, 303
349, 349
306, 306
733, 733
134, 134
251, 251
812, 812
187, 187
950, 950
912, 912
143, 143
57, 57
66, 66
321, 321
463, 463
743, 743
26, 26
44, 44
680, 680
464, 464
402, 402
438, 438
859, 859
746, 746
873, 873
476, 476
798, 798
550, 550
589, 589
280, 280
378, 378
757, 757
545, 545
60, 60
723, 723
815, 815
951, 951
590, 590
987, 987
990, 990
660, 660
673, 673
633, 633
884, 884
919, 919
133, 133
752, 752
971, 971
811, 811
876, 876
43, 43
691, 691
794, 794
125, 125
268, 268
363, 363
865, 865
948, 948
567, 567
541, 541
308, 308
61, 61
495, 495
536, 536
521, 521
706, 706
68, 68
897, 897
142, 142
5, 5
271, 271
316, 316
200, 200
20, 20
718, 718
998, 998
215, 215
664, 664
216, 216
507, 507
33, 33
335, 335
968, 968
412, 412
457, 457
500, 500
9, 9
